ID,Mnemonico,Descricao,Especialidade,Restricao_Preparo,Contra_Indicacoes,Informacoes_Gerais,Informacoes_Especificas,48h_Antes_Exames,24h_Antes_Exames,No_Dia_Exame,Restricao_Idade,Medicamentos,Jejum,Exames_Anteriores,Vestimentas,Obrigatório Acompanhante maior portando documento oficial com foto
2810,OTOCOMP,OTONEUROLOGICO COMPLETO,AUDIOMETRIA,-,-,-,-,-,-,-,-,-,-,-,-,-
5367,417,PESQUISA DO NISTAGMO OPTOCINETICO,AUDIOMETRIA,-,-,-,-,401,501,603,-,-,-,804,-,-
5199,981,ANESTESIA PARA COLONOSCOPIA,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
2367,COLOPECTO,COLONOSCOPIA  POLIPECTOMIA COM OU SEM BIOPSIA,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
2366,COLORETO,COLONOSCOPIA + RETOSSIGMOIDOSCOPIA COM OU SEM BIOPSIA,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
2368,COLONBIO,COLONOSCOPIA COM BIOPSIA E OU CITOLOGIA,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
2365,COLOMAG,COLONOSCOPIA COM MAGNIFICACAO,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
8379,M11775,COLONOSCOPIA COM POLIPECTOMIA,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
2369,COLON,COLONOSCOPIA INCLUI A RETOSSIGMOIDOSCOPIA,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
12315,POLIPCOL,POLIPECTOMIA DE COLON INDEPENDENTE DO NUMERO DE POLIPOS,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
2680,RETOFLEX,RETOSSIGMOIDOSCOPIA FLEXIVEL,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
2681,RETFLEXB,RETOSSIGMOIDOSCOPIA FLEXIVEL COM BIOPSIA E OU CITOLOGIA,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
2678,RETOFLEB,RETOSSIGMOIDOSCOPIA FLEXIVEL COM OU SEM BIOPSIA,COLONOSCOPIA,1,-,204,308,-,-,604,-,704,-,802,-,TRUE
7984,BIOPEDAN,BIOIMPEDANCIA,DENSITOMETRIA,2,-,-,-,-,-,605,-,705,-,804,-,-
2963,DENOSS2,DENSITOMETRIA OSSEA 2 SEGMENTOS COLUNA E FEMUR,DENSITOMETRIA,2,-,-,-,-,-,605,-,705,-,804,-,-
2961,DENOCORP,DENSITOMETRIA OSSEA CORPO INTEIRO,DENSITOMETRIA,2,-,-,-,-,-,605,-,705,-,804,-,-
2960,DENODUOC,DENSITOMETRIA OSSEA DUO ENERGETICA PROTESE DE FEMUR,DENSITOMETRIA,2,-,-,-,-,-,605,-,705,-,804,-,-
2962,DENOSSEA,DENSITOMETRIA OSSEA UM SEGMENTO,DENSITOMETRIA,2,-,-,-,-,-,605,-,705,-,804,-,-
5198,977,ANESTESIA PARA ENDOSCOPIA,ENDOSCOPIA,1,-,204,307,-,-,604,-,704,-,802,-,TRUE
1139,270,BIOFEEDBACK SESSAO,ENDOSCOPIA,1,-,204,307,-,-,604,-,704,-,802,-,TRUE
1113,BIOEDA,BIOPSIA PARA ENDOSCOPIA,ENDOSCOPIA,1,-,204,307,-,-,604,-,704,-,802,-,TRUE
8706,BIOHPYLU,BIOPSIA PARA PESQUISA DE H.PYLORI TESTE DE UREASE,ENDOSCOPIA,1,-,204,307,-,-,604,-,704,-,802,-,TRUE
