ID_P,ID_T,DESCRICAO,IDADE,SEXO,GESTANTE OU SUSPEITA,PESO
1,1,"Caso apresente dificuldade respiratória (ex. Asma em fase aguda, portadores de DPOC -Doença Pulmonar Obstrutiva Crônica, fizer uso de suporte de oxigênio para respirar ou doenças cardíacas descompensadas, ou diabetes em uso de insulina), o exame não será realizado;",,,,
,,Esse exame não é realizado em gestante;,,F,X,
,,Para realização do exame é importante que o peso do cliente não ultrapasse 110Kg; ,,,,Até 110 kg
2,1,Limite de peso para realização do exame é de 139 Kg; ,Acima de 5 anos,,,Até 139 Kg
,,"O exame não poderá ser realizado após exames com uso de contraste, pois deverá ter um intervalo de 7 dias;",Acima de 5 anos,,,
,,Clientes grávidas ou com suspeita de gravidez não poderão realizar o exame;,Acima de 5 anos,,X,
3,1,Clientes alérgicos a contraste iodado;,,,,
,,Clientes que possuem DIU;,,F,,
,,Clientes com corrimento;,,F,,
,,Clientes gestantes ou com suspeita de gravidez sem teste de BHCG dos últimos 2 dias em mãos;,,,X,
4,1,Limite de peso para o exame 115 kg,,,,Até 115 Kg
5,1,"Portadores de marca-passo;
Clipes de aneurisma cerebral; 
Clientes portadores de filtro de cava ou stent, nas 3 primeiras semanas após colocação; 
Clientes portadores de prótese de ouvido só poderão realizar o exame mediante apresentação da carta do médico informando que a prótese é de teflon;
Portadores de metal intraocular (exceto lente intraocular); 
Portadores de placas, parafusos ou prótese de metal (Titânio ou não), prótese intraocular e prótese de ouro na pálpebra pode realizar o exame, mas se o objeto estiver na área a ser analisada, poderá interferir na qualidade da imagem e o exame pode ser suspenso pelo médico radiologista;
Paciente em realização de diálise não poderão fazer uso do contraste;",,,,
,,Gestantes no 1º trimestre;,,,X,
,,"Gestantes após 2º trimestre, em caso de RM não fetais é necessário a apresentação de uma  autorização do médico solicitante;",,,X,
101,2,"Alergia a ovo;
Pessoas que apresentaram reações alérgicas/ alergias graves ocorridas devido á administração da vacina gripe (Influenza, H1N1);
Febre;",,,,
,,"Gestantes podem ser vacinadas após o 1° trimestre (a partir do 4° mês de gestação), para vacina da Febre Amarela deverá apresentação solicitação médica.",,,X,
,,Mulheres amamentando,,F,,
102,2,"Para o exame com anestesia/sedação endovenosa,  o cliente não pode estar com gripe, febre, tosse, crise asmática, bronquite - Nestas Condições remarcar exame;
Solicitação médica de mais de 24 fragmentos, consultar equipe médica;
Múltiplas doenças associadas, consultar equipe médica.",,,,
201,3,"Caso tenha tatuagem recente, aguardar 15 dias para realizar o exame;
Se o paciente possui gesso no segmento a ser estudado, o mesmo deverá entrar em contato com o médico solicitante para verificar a possibilidade de retirada do gesso no dia do exame e a sua posterior colocação, pois não é possível a realização da ressonância magnética com gesso. Se o cliente possuir somente faixa, o exame poderá ser realizado normalmente.",,,,
202,3,"Cliente de preferência deve tomar banho próximo ao horário da colocação do aparelho, voltando a fazê-lo somente após a sua retirada;
É necessário retornar ao laboratório em 24 horas após ter instalado o equipamento para início do exame, para conclusão do exame, retirada e devolução do equipamento, seguindo rigorosamente o horário estipulado pelo setor.",,,,
203,3,"Vacina aplicada somente pela unidade Premium;
Horário de atendimento de segunda à sexta das 06:30h às 17h e sábado das 8h às 12h;
Não é necessário agendamento prévio;
Não é obrigado a apresentação de pedido médico;
Preferencialmente trazer a carteirinha de vacinação, caso não tenha forneceremos uma.",,,,
204,3,"Seguir corretamente o preparo, caso contrário o exame pode ser remarcado;
Após o exame o cliente não poderá dirigir, devendo permanecer em repouso o resto do dia;",,,,
,,Clientes que estiverem amamentando deve ter um intervalo de 6 horas para amamentar novamente;,,F,,
205,3,"Não há necessidade de jejum;
Necessário acompanhante;",,,,
301,4,Não urinar nas 2 horas que antecedem o exame;,,,,
302,4,Se o cliente for alérgico a Buscopan ® (Escopolamina) fazer jejum absoluto de 12 horas;  Não urinar nas 2 horas que antecedem o exame;,,,,
303,4,"Realizar o preparo apenas se constar no pedido médico a solicitação de preparo intestinal.
A) Na véspera do exame: Água de coco, Gatorade®, purê de batata, arroz branco, gelatina sem pedaços de frutas, pão francês, bolacha de água e sal, picolé de frutas, suspiros, sopa magra coada de caldo de carne ou frango (sem sólidos), macarrão com molho vermelho ou alho e óleo (sem carne ou queijo ralado), alimentos com leite e derivados, verduras cruas, bagaço de fruta, salada de folhas, frituras, feijões, grão de bico, milho, lentilha, ervilha, sementes e similares não podem ser consumidos nesse dia.
B) No dia do exame: Além da dieta, a cliente terá que tomar um comprimido de DUCOLAX® às 8 h e outro às 14h. Caso o medicamento cause cólicas ou dores abdominais, é possível fazer uso de BUSCOPAN SIMPLES ®, por via oral, na dose  de um comprimido ou então 30 gotas. Cerca de 1h antes do exame é necessário proceder a limpeza do intestino baixo, denominado retossigmoide, com o uso de uma BISNAGA DE PHOSFOENEMA®, aplicada por via retal de acordo com as instruções contidas na bula do produto. O objetivo dessa etapa é limpar o retossigmoide dos resíduos fecais habitualmente presentes nessa porção do intestino, uma vez que podem prejudicar a qualidade de algumas imagens.  Preferencialmente fazer essa parte do preparo no laboratório, já que o produto não causa dores abdominais importantes. Pois o cliente deverá estar na recepção da unidade de atendimento com 1h de antecedência  do horário marcado para o exame, levando consigo a bisnaga para aplicação, que pode ser adquirida em qualquer farmácia, a aplicação não deve ser realizada com mais de 1h de antecedência do horário agendado. Não é necessário ingerir líquidos antes do exame, uma vez que a bexiga deve estar vazia para esta avaliação. A dieta pobre em resíduos dever ser mantida também no dia do exame.",,,,
304,4,"No dia do exame não ingerir café, chá ou bebida alcóolica, no dia do exame utilizar roupas de botões (tipo camisa);",,,,
305,4,"Pacientes portadores de expansor mamário, deve trazer o manual do fabricante e modelo. Alguns expansores não são compatíveis com RM, por exemplo o NATRELE 133 ®;
Para avaliação de glândula mamária o uso do contraste é obrigatório, exceto para avaliação de prótese mamária fica a critério do cliente a utilização do contraste, porém o uso do mesmo é muito importante para um diagnóstico preciso.",,F,,
306,4,"Portadores de placas, parafusos ou prótese de metal (Titânio ou não), prótese intraocular e prótese de ouro na pálpebra pode realizar o exame, mas se o objeto estiver na área a ser analisada, poderá interferir na qualidade da imagem e o exame pode ser suspenso pelo médico radiologista;",,,,
